"season","team","conference","statName","statValue"
2022,"Boston College","ACC","fourthDownConversions",8
2022,"Ball State","Mid-American","interceptionTDs",0
2022,"Navy","American Athletic","passingTDs",9
2022,"South Carolina","SEC","games",13
2022,"Baylor","Big 12","rushingTDs",34
2022,"Miami (OH)","Mid-American","fourthDownConversions",11
2022,"Middle Tennessee","Conference USA","thirdDownConversions",69
2022,"Washington State","Pac-12","firstDowns",253
2022,"Hawai'i","Mountain West","puntReturnYards",52
2022,"Florida","SEC","passingTDs",18
2022,"LSU","SEC","passesIntercepted",9
2022,"Washington State","Pac-12","passingTDs",24
2022,"Washington State","Pac-12","fumblesRecovered",16
2022,"Kentucky","SEC","passingTDs",21
2022,"Utah","Pac-12","kickReturns",8
2022,"Illinois","Big Ten","fourthDownConversions",12
2022,"Appalachian State","Sun Belt","kickReturnTDs",1
2022,"Cincinnati","American Athletic","netPassingYards",3155
2022,"Ball State","Mid-American","games",12
2022,"Arkansas State","Sun Belt","interceptionTDs",1
2022,"Syracuse","ACC","fumblesLost",4
2022,"Nebraska","Big Ten","rushingTDs",17
2022,"Arkansas","SEC","interceptionTDs",0
2022,"Virginia","ACC","penalties",70
2022,"North Carolina","ACC","passAttempts",525
2022,"Texas State","Sun Belt","puntReturnTDs",0
2022,"UTEP","Conference USA","totalYards",4631
2022,"North Texas","Conference USA","fumblesRecovered",11
2022,"Minnesota","Big Ten","netPassingYards",2369
2022,"Illinois","Big Ten","games",13
2022,"BYU","FBS Independents","fumblesRecovered",5
2022,"TCU","Big 12","interceptionYards",282
2022,"South Carolina","SEC","firstDowns",246
2022,"North Carolina","ACC","fourthDownConversions",25
2022,"Clemson","ACC","firstDowns",319
2022,"Tulane","American Athletic","fourthDowns",27
2022,"Arkansas","SEC","thirdDowns",194
2022,"Ball State","Mid-American","passesIntercepted",7
2022,"Louisiana Monroe","Sun Belt","totalYards",3911
2022,"South Florida","American Athletic","thirdDownConversions",59
2022,"New Mexico","Mountain West","penaltyYards",614
2022,"Duke","ACC","puntReturns",13
2022,"James Madison","Sun Belt","sacks",38
2022,"Syracuse","ACC","sacks",33
2022,"Alabama","SEC","puntReturns",30
2022,"Nebraska","Big Ten","sacks",22
2022,"Wyoming","Mountain West","fumblesLost",3
2022,"Texas Tech","Big 12","rushingTDs",28
2022,"Tulane","American Athletic","thirdDownConversions",66
2022,"Penn State","Big Ten","passingTDs",29
2022,"Appalachian State","Sun Belt","rushingTDs",27
2022,"Indiana","Big Ten","rushingYards",1330
2022,"Tennessee","SEC","thirdDowns",166
2022,"San Diego State","Mountain West","passingTDs",15
2022,"James Madison","Sun Belt","penaltyYards",439
2022,"Georgia","SEC","passingTDs",31
2022,"Oklahoma State","Big 12","tacklesForLoss",86
2022,"Michigan State","Big Ten","thirdDownConversions",59
2022,"Wyoming","Mountain West","interceptionTDs",1
2022,"Connecticut","FBS Independents","possessionTime",23632
2022,"San Diego State","Mountain West","kickReturnTDs",1
2022,"UCF","American Athletic","games",14
2022,"Virginia","ACC","passingTDs",7
2022,"Washington","Pac-12","possessionTime",24444
2022,"Rice","Conference USA","netPassingYards",3027
2022,"Rice","Conference USA","fumblesLost",12
2022,"Louisville","ACC","turnovers",23
2022,"Bowling Green","Mid-American","puntReturnTDs",2
2022,"James Madison","Sun Belt","passesIntercepted",11
2022,"Arizona","Pac-12","fourthDownConversions",10
2022,"Northwestern","Big Ten","kickReturns",12
2022,"Western Michigan","Mid-American","firstDowns",199
2022,"Wyoming","Mountain West","thirdDowns",175
2022,"Wyoming","Mountain West","passingTDs",11
2022,"San José State","Mountain West","netPassingYards",3261
2022,"Florida","SEC","interceptions",9
2022,"Kent State","Mid-American","penalties",80
2022,"Oregon State","Pac-12","puntReturnYards",319
2022,"Louisiana","Sun Belt","passCompletions",252
2022,"Toledo","Mid-American","totalYards",5638
2022,"Rutgers","Big Ten","penalties",94
2022,"UNLV","Mountain West","thirdDowns",156
2022,"Mississippi State","SEC","fourthDowns",29
2022,"Oklahoma","Big 12","fourthDownConversions",11
2022,"Western Kentucky","Conference USA","rushingAttempts",414
2022,"Florida State","ACC","firstDowns",315
2022,"UMass","FBS Independents","totalYards",3207
2022,"Virginia Tech","ACC","thirdDowns",159
2022,"UNLV","Mountain West","rushingAttempts",403
2022,"Connecticut","FBS Independents","games",13
2022,"Oregon","Pac-12","totalYards",6507
2022,"Louisville","ACC","tacklesForLoss",93
2022,"Stanford","Pac-12","passAttempts",448
2022,"Florida Atlantic","Conference USA","fourthDowns",21
2022,"Northwestern","Big Ten","kickReturnTDs",0
2022,"UCLA","Pac-12","passCompletions",291
2022,"Arizona","Pac-12","fumblesLost",8
2022,"Arizona","Pac-12","rushingYards",1728
2022,"Boise State","Mountain West","passAttempts",385
2022,"Oregon State","Pac-12","passCompletions",201
2022,"Fresno State","Mountain West","penalties",63
2022,"Troy","Sun Belt","puntReturnYards",132
2022,"UTEP","Conference USA","thirdDownConversions",66
2022,"San Diego State","Mountain West","tacklesForLoss",84
2022,"Florida State","ACC","passCompletions",249
2022,"North Carolina","ACC","interceptionYards",107
2022,"Tennessee","SEC","fourthDownConversions",23
2022,"SMU","American Athletic","penalties",55
2022,"Georgia","SEC","puntReturnYards",265
2022,"UNLV","Mountain West","interceptionYards",232
2022,"Houston","American Athletic","passesIntercepted",7
2022,"Arkansas","SEC","rushingYards",3085
2022,"Arizona","Pac-12","penalties",65
2022,"Troy","Sun Belt","interceptionYards",249
2022,"BYU","FBS Independents","possessionTime",22744
2022,"Troy","Sun Belt","interceptionTDs",1
2022,"California","Pac-12","thirdDownConversions",59
2022,"Colorado State","Mountain West","games",12
2022,"BYU","FBS Independents","passesIntercepted",8
2022,"Ohio State","Big Ten","interceptions",6
2022,"Texas","Big 12","passesIntercepted",10
2022,"Arizona State","Pac-12","passAttempts",403
2022,"Georgia","SEC","penalties",66
2022,"Wyoming","Mountain West","totalYards",4077
2022,"Bowling Green","Mid-American","fumblesRecovered",15
2022,"Navy","American Athletic","tacklesForLoss",73
2022,"Bowling Green","Mid-American","kickReturnTDs",1
2022,"Air Force","Mountain West","sacks",24
2022,"North Texas","Conference USA","passCompletions",241
2022,"Oregon State","Pac-12","passAttempts",323
2022,"Western Kentucky","Conference USA","sacks",32
2022,"Texas A&M","SEC","passesIntercepted",4
2022,"Miami (OH)","Mid-American","interceptionTDs",1
2022,"Texas Tech","Big 12","fourthDowns",53
2022,"Central Michigan","Mid-American","firstDowns",239
2022,"Tennessee","SEC","fumblesRecovered",13
2022,"Buffalo","Mid-American","passesIntercepted",11
2022,"Ole Miss","SEC","fumblesLost",9
2022,"Western Michigan","Mid-American","passesIntercepted",11
2022,"Rice","Conference USA","puntReturns",18
2022,"Middle Tennessee","Conference USA","netPassingYards",3442
2022,"Charlotte","Conference USA","passAttempts",429
2022,"Boston College","ACC","games",12
2022,"Texas Tech","Big 12","kickReturnYards",681
2022,"Charlotte","Conference USA","puntReturnTDs",0
2022,"Washington","Pac-12","firstDowns",354
2022,"Clemson","ACC","totalYards",5744
2022,"Oregon State","Pac-12","fumblesRecovered",9
2022,"Charlotte","Conference USA","fourthDowns",34
2022,"Nevada","Mountain West","fourthDownConversions",13
2022,"Central Michigan","Mid-American","interceptionTDs",0
2022,"Old Dominion","Sun Belt","kickReturnYards",494
2022,"James Madison","Sun Belt","interceptionTDs",2
2022,"Miami","ACC","puntReturnTDs",0
2022,"Ohio State","Big Ten","fourthDownConversions",12
2022,"Baylor","Big 12","rushingYards",2371
2022,"San José State","Mountain West","firstDowns",245
2022,"Maryland","Big Ten","penalties",101
2022,"Oklahoma","Big 12","rushingYards",2859
2022,"Rutgers","Big Ten","penaltyYards",770
2022,"Kent State","Mid-American","games",12
2022,"Maryland","Big Ten","interceptionTDs",0
2022,"Alabama","SEC","kickReturns",21
2022,"New Mexico State","FBS Independents","fumblesRecovered",9
2022,"Memphis","American Athletic","firstDowns",293
2022,"Nebraska","Big Ten","kickReturnYards",444
2022,"Indiana","Big Ten","games",12
2022,"LSU","SEC","rushingTDs",39
2022,"Oklahoma State","Big 12","games",13
2022,"Washington State","Pac-12","rushingAttempts",365
2022,"Georgia Southern","Sun Belt","turnovers",21
2022,"Florida Atlantic","Conference USA","passesIntercepted",12
2022,"Oregon State","Pac-12","fourthDowns",23
2022,"Miami","ACC","interceptionYards",136
2022,"Notre Dame","FBS Independents","turnovers",18
2022,"UTEP","Conference USA","interceptions",12
2022,"San Diego State","Mountain West","kickReturns",37
2022,"Mississippi State","SEC","passingTDs",36
2022,"Minnesota","Big Ten","penalties",46
2022,"Indiana","Big Ten","passingTDs",16
2022,"Louisiana Monroe","Sun Belt","passesIntercepted",6
2022,"Penn State","Big Ten","rushingYards",2354
2022,"Georgia Southern","Sun Belt","firstDowns",327
2022,"California","Pac-12","passesIntercepted",11
2022,"Nevada","Mountain West","fumblesLost",9
2022,"Buffalo","Mid-American","firstDowns",268
2022,"Arizona","Pac-12","interceptionTDs",0
2022,"Rice","Conference USA","tacklesForLoss",53
2022,"Colorado State","Mountain West","passAttempts",322
2022,"UNLV","Mountain West","firstDowns",211
2022,"Oregon","Pac-12","thirdDownConversions",75
2022,"Northwestern","Big Ten","interceptionTDs",0
2022,"Air Force","Mountain West","thirdDowns",176
2022,"Tulane","American Athletic","puntReturnYards",227
2022,"Auburn","SEC","totalYards",4542
2022,"Bowling Green","Mid-American","sacks",37
2022,"Louisiana Monroe","Sun Belt","fumblesLost",8
2022,"Utah","Pac-12","passCompletions",288
2022,"Iowa State","Big 12","kickReturnYards",348
2022,"Fresno State","Mountain West","fourthDownConversions",7
2022,"Cincinnati","American Athletic","fumblesLost",6
2022,"Maryland","Big Ten","sacks",24
2022,"Western Michigan","Mid-American","tacklesForLoss",80
2022,"Texas A&M","SEC","turnovers",18
2022,"Wisconsin","Big Ten","penalties",81
2022,"SMU","American Athletic","puntReturnYards",145
2022,"Nevada","Mountain West","games",12
2022,"Notre Dame","FBS Independents","puntReturnTDs",1
2022,"Duke","ACC","passAttempts",399
2022,"Iowa","Big Ten","kickReturns",19
2022,"Clemson","ACC","sacks",43
2022,"Colorado","Pac-12","sacks",10
2022,"Marshall","Sun Belt","puntReturns",24
2022,"Toledo","Mid-American","sacks",31
2022,"Clemson","ACC","netPassingYards",3247
2022,"Louisiana","Sun Belt","puntReturnTDs",2
2022,"South Alabama","Sun Belt","fumblesRecovered",11
2022,"Washington State","Pac-12","puntReturnTDs",0
2022,"Nevada","Mountain West","fumblesRecovered",9
2022,"Memphis","American Athletic","netPassingYards",3641
2022,"Kent State","Mid-American","puntReturnYards",113
2022,"Oregon State","Pac-12","penaltyYards",711
2022,"Northwestern","Big Ten","puntReturnYards",19
2022,"UNLV","Mountain West","penaltyYards",687
2022,"Texas State","Sun Belt","interceptions",10
2022,"Oklahoma","Big 12","interceptions",8
2022,"Miami","ACC","firstDowns",254
2022,"Kentucky","SEC","passesIntercepted",10
2022,"Eastern Michigan","Mid-American","penaltyYards",960
2022,"Tulsa","American Athletic","interceptionYards",28
2022,"Boise State","Mountain West","kickReturnYards",542
2022,"Louisville","ACC","totalYards",5285
2022,"Miami","ACC","rushingAttempts",414
2022,"Boston College","ACC","passingTDs",21
2022,"UT San Antonio","Conference USA","totalYards",6664
2022,"Wyoming","Mountain West","passCompletions",156
2022,"Duke","ACC","passesIntercepted",10
2022,"Nevada","Mountain West","rushingYards",1427
2022,"San Diego State","Mountain West","sacks",36
2022,"Houston","American Athletic","fourthDownConversions",18
2022,"Florida International","Conference USA","games",12
2022,"Army","FBS Independents","thirdDownConversions",70
2022,"Ohio State","Big Ten","passesIntercepted",11
2022,"Illinois","Big Ten","interceptionYards",274
2022,"Oklahoma","Big 12","possessionTime",20534
2022,"Old Dominion","Sun Belt","passingTDs",19
2022,"Kent State","Mid-American","passingTDs",17
2022,"Oklahoma","Big 12","rushingTDs",28
2022,"Hawai'i","Mountain West","penaltyYards",652
